Month,Total Gallons,Postal Code
6/1/2012,3614600,78617
6/1/2012,65300,78757
6/1/2012,19426200,78736
6/1/2012,9083600,78749
6/1/2012,34736000,78745
6/1/2012,28284700,78726
7/1/2012,8506700,78749
7/1/2012,623700,78705
7/1/2012,53200,78652
7/1/2012,50265900,78704
7/1/2012,138700,78705
7/1/2012,18200,78732
7/1/2012,22301800,78727
7/1/2012,598600,78719
7/1/2012,311700,78725
7/1/2012,2600,78753
7/1/2012,842400,78731
7/1/2012,21789700,78751
7/1/2012,108362000,78745
7/1/2012,3040000,78725
7/1/2012,30488100,78754
7/1/2012,35101300,78745
7/1/2012,8300,78738
7/1/2012,42311200,78735
7/1/2012,8030500,78748
7/1/2012,119191700,78759
7/1/2012,13100,78660
7/1/2012,11997400,78726
7/1/2012,1053400,78728
7/1/2012,6114900,78717
7/1/2012,18600,78749
7/1/2012,20900,78721
7/1/2012,149500,78756
7/1/2012,31000,78717
7/1/2012,14872700,78737
7/1/2012,154500,78722
7/1/2012,2355500,78719
7/1/2012,22300,78652
7/1/2012,113300,78745
7/1/2012,1953200,78736
7/1/2012,292400,78704
7/1/2012,4435300,78745
7/1/2012,39158000,78729
7/1/2012,2756700,78704
7/1/2012,9104600,78702
7/1/2012,1766700,78701
7/1/2012,2749300,78735
7/1/2012,7500,78727
7/1/2012,74600,78741
7/1/2012,6229100,78726
7/1/2012,396800,78730
7/1/2012,22700,78747
7/1/2012,33200,78726
7/1/2012,1336200,78746
7/1/2012,23200,78736
7/1/2012,1034400,78652
7/1/2012,301000,78721
7/1/2012,52836100,78717
7/1/2012,29000,78613
7/1/2012,19200,78729
7/1/2012,18967700,78731
7/1/2012,2770600,78750
7/1/2012,68150600,78704
7/1/2012,1079700,78742
7/1/2012,13099500,78724
7/1/2012,1335200,78736
7/1/2012,54290900,78753
7/1/2012,3256300,78722
7/1/2012,8639700,78727
7/1/2012,4372700,78741
7/1/2012,4293500,78729
7/1/2012,153300,78723
7/1/2012,1918400,78747
7/1/2012,191200,78759
7/1/2012,32443000,78702
7/1/2012,0,78754
7/1/2012,636900,78746
7/1/2012,35100,78750
7/1/2012,1268200,78731
7/1/2012,4800,78744
7/1/2012,1449600,78744
7/1/2012,0,78739
7/1/2012,28249200,78705
7/1/2012,3668400,78660
7/1/2012,132400,78751
7/1/2012,8800,78737
7/1/2012,27359600,78744
7/1/2012,12764800,78750
7/1/2012,13852400,78701
7/1/2012,8633000,78747
7/1/2012,9007000,78728
7/1/2012,39100,78724
7/1/2012,43900,78758
7/1/2012,59593200,78758
7/1/2012,99800,78756
